# Music Analyser - Comprehensive Analysis Results
# Generated: 2025-10-25T08:10:58.907436

[TRACK_METADATA]
parameter,value
track_name,Allegro maestoso.flac
track_path,Tracks\Allegro maestoso.flac
duration_seconds,770.32
sample_rate,44100
samples,33971112
channels,1
original_peak,0.5365142822265625
original_peak_dbfs,-5.408373832702637
analysis_date,2025-10-25T08:10:58.907436

[OCTAVE_BAND_ANALYSIS]
frequency_hz,max_amplitude,max_amplitude_db,rms,rms_db,dynamic_range,dynamic_range_db,crest_factor,crest_factor_db,mean,std,p10,p25,p50,p75,p90,p95,p99
Full Spectrum,1.0,-5.408374248997859,0.07989775200952748,-27.35768304409271,0.07989775200952748,-21.949308795094847,12.51599669388388,21.949308795094847,0.006844940666239869,0.07960400469481173,0.005346833262592554,0.014106538146734238,0.03296265751123428,0.06845653057098389,0.1251670867204666,0.17254912853240967,0.28835612714292314
31.250,0.010055723915256509,-45.36010742744978,0.00040795720688436324,-73.19608205527318,0.04056965071061786,-27.83597462782339,24.648967454340955,27.835974627823393,1.2567523416276643e-13,0.00040795720688436324,3.0162868776462338e-05,7.729964559249162e-05,0.00017095588081318907,0.0003243442504074268,0.0005525742904275452,0.0007658648394098723,0.001451405031041805
169.0,5.22028,14.353876,0.16361879,0.031342912,-21.13171,-35.485588
171.0,5.5215955,14.841291,0.18890248,0.034211576,-19.883621,-34.724915
173.0,4.5601077,13.1795025,0.33323854,0.073076904,-14.95327,-28.132772
175.0,4.190426,12.445164,0.26196638,0.06251545,-17.043463,-29.488628
177.0,4.2219625,12.510288,0.41042632,0.09721222,-13.143671,-25.653955
179.0,5.527883,14.851177,0.36227638,0.065536186,-14.227573,-29.07875
181.0,6.13325,15.753814,0.21919172,0.035738263,-18.591892,-34.345707
183.0,5.5800695,14.932793,0.22047155,0.039510537,-18.541323,-33.474117
185.0,4.8490806,13.713188,0.19751997,0.04073349,-19.496153,-33.209343
187.0,6.2099133,15.861711,0.14228833,0.022913095,-22.344988,-38.2067
189.0,4.021685,12.088161,0.082392424,0.02048704,-27.090628,-39.178787
191.0,4.1195817,12.297063,0.11305139,0.027442444,-24.342857,-36.63992
193.0,4.7090974,13.458754,0.14262962,0.030288102,-22.32418,-35.782932
195.0,4.327107,12.723952,0.14376724,0.033224795,-22.255175,-34.97913
197.0,4.2601027,12.588402,0.31148148,0.07311595,-15.53973,-28.12813
199.0,4.8200555,13.661041,0.3243082,0.06728308,-15.189217,-28.850258
201.0,4.78234,13.59281,0.12980291,0.027142134,-23.142685,-36.735493
203.0,3.9789505,11.995371,0.11205597,0.028162193,-24.419674,-36.415047
205.0,4.4671497,13.00061,0.16182703,0.036226016,-21.227352,-34.227962
