case,band_hz,source_peak,source_peak_db,source_rms,source_rms_db,band_peak,band_peak_db,band_peak_minus_source_peak_db,band_rms,band_rms_db,band_power_fraction,exceeds_source_peak,note
Clipped 62.5 Hz square,125.0,1.0,0.0,0.999999479166531,-4.523903209817419e-06,0.26267836719178467,-11.611513838994021,-11.611513838994021,0.18209059502869224,-14.794249698338,0.033157019336465005,False,Bounded square-like source; removing harmonics changes waveform shape and can raise the extracted fundamental peak.
Clipped 62.5 Hz square,250.0,1.0,0.0,0.999999479166531,-4.523903209817419e-06,0.5470389589165404,-5.239634861266661,-5.239634861266661,0.28844339891433596,-10.798787910187642,0.08319968104358917,False,Bounded square-like source; removing harmonics changes waveform shape and can raise the extracted fundamental peak.
Clipped 62.5 Hz square,500.0,1.0,0.0,0.999999479166531,-4.523903209817419e-06,0.5162975553164006,-5.741998626892494,-5.741998626892494,0.19194385358851115,-14.336515805376074,0.03684248130799251,False,Bounded square-like source; removing harmonics changes waveform shape and can raise the extracted fundamental peak.
Clipped 62.5 Hz square,1000.0,1.0,0.0,0.999999479166531,-4.523903209817419e-06,0.5089820689366895,-5.865950345367784,-5.865950345367784,0.13477066660245898,-17.408092470401428,0.01816315149642063,False,Bounded square-like source; removing harmonics changes waveform shape and can raise the extracted fundamental peak.
Clipped 62.5 Hz square,2000.0,1.0,0.0,0.999999479166531,-4.523903209817419e-06,0.5072263122402657,-5.8959645124493605,-5.8959645124493605,0.09544898867356821,-20.404573375959572,0.009110518928930838,False,Bounded square-like source; removing harmonics changes waveform shape and can raise the extracted fundamental peak.
Clipped 62.5 Hz square,4000.0,1.0,0.0,0.999999479166531,-4.523903209817419e-06,0.5116572491334374,-5.820417368631595,-5.820417368631595,0.06807473487031976,-23.340280828502177,0.004634174354929282,False,Bounded square-like source; removing harmonics changes waveform shape and can raise the extracted fundamental peak.
Clipped 62.5 Hz square,8000.0,1.0,0.0,0.999999479166531,-4.523903209817419e-06,0.5215203916886415,-5.654574115805014,-5.654574115805014,0.04986707568616866,-26.043721980167632,0.002486727827831561,False,Bounded square-like source; removing harmonics changes waveform shape and can raise the extracted fundamental peak.
Clipped 62.5 Hz square,16000.0,1.0,0.0,0.999999479166531,-4.523903209817419e-06,0.5156206824027406,-5.75339341391211,-5.75339341391211,0.039981889354427314,-27.962733740718964,0.0015985531415091906,False,Bounded square-like source; removing harmonics changes waveform shape and can raise the extracted fundamental peak.
Clipped 62.5 Hz square,32000.0,1.0,0.0,0.999999479166531,-4.523903209817419e-06,0.15169915987043442,-16.38033648771229,-16.38033648771229,0.015292147969945996,-36.310630166212,0.00023385003312850796,False,Bounded square-like source; removing harmonics changes waveform shape and can raise the extracted fundamental peak.
Pink noise,Full Spectrum,1.0,0.0,0.2124634392099128,-13.45431585490582,1.0,0.0,0.0,0.2124634392099128,-13.45431585490582,1.0,False,Broadband noise with a music-like spectral slope.
Pink noise,4.0,1.0,0.0,0.2124634392099128,-13.45431585490582,0.3698752024698042,-8.638895681966142,-8.638895681966142,0.1147543060928054,-18.804620176422993,0.2917222589412238,False,Broadband noise with a music-like spectral slope.
Pink noise,8.0,1.0,0.0,0.2124634392099128,-13.45431585490582,0.1970777937423912,-14.107246164685863,-14.107246164685863,0.05232332599863054,-25.62609314652688,0.060648808172438944,False,Broadband noise with a music-like spectral slope.
Pink noise,16.0,1.0,0.0,0.2124634392099128,-13.45431585490582,0.19439391501730863,-14.226346672532934,-14.226346672532934,0.05019575711189592,-25.98665981676733,0.055816886011215046,False,Broadband noise with a music-like spectral slope.
Pink noise,31.25,1.0,0.0,0.2124634392099128,-13.45431585490582,0.18297304258702135,-14.752257802996898,-14.752257802996898,0.05217476326040842,-25.650790256819512,0.06030489419219253,False,Broadband noise with a music-like spectral slope.
Pink noise,62.5,1.0,0.0,0.2124634392099128,-13.45431585490582,0.19423588947629528,-14.233410425590552,-14.233410425590552,0.053033883288067546,-25.508931429405813,0.06230722976298634,False,Broadband noise with a music-like spectral slope.
Pink noise,125.0,1.0,0.0,0.2124634392099128,-13.45431585490582,0.23477219317261133,-12.587066859462734,-12.587066859462734,0.05183434134020659,-25.707648313605777,0.059520525121506705,False,Broadband noise with a music-like spectral slope.
Pink noise,250.0,1.0,0.0,0.2124634392099128,-13.45431585490582,0.21988691789399495,-13.156012161802426,-13.156012161802426,0.05079787541973221,-25.883089027070376,0.05716400950749136,False,Broadband noise with a music-like spectral slope.
Pink noise,500.0,1.0,0.0,0.2124634392099128,-13.45431585490582,0.23172548087044573,-12.700524158643425,-12.700524158643425,0.051329840760123924,-25.792601660861795,0.0583675440041653,False,Broadband noise with a music-like spectral slope.
Pink noise,1000.0,1.0,0.0,0.2124634392099128,-13.45431585490582,0.24948105853092375,-12.059248438709298,-12.059248438709298,0.050945986034392834,-25.857800555736308,0.05749783998681088,False,Broadband noise with a music-like spectral slope.
Pink noise,2000.0,1.0,0.0,0.2124634392099128,-13.45431585490582,0.2532173793650921,-11.93012980379386,-11.93012980379386,0.05116177454847192,-25.8210880081665,0.05798595106143387,False,Broadband noise with a music-like spectral slope.
Pink noise,4000.0,1.0,0.0,0.2124634392099128,-13.45431585490582,0.25951221020349585,-11.716844070433881,-11.716844070433881,0.05115227661767841,-25.822700650378575,0.05796442344894002,False,Broadband noise with a music-like spectral slope.
Pink noise,8000.0,1.0,0.0,0.2124634392099128,-13.45431585490582,0.2541568515337486,-11.897963562767437,-11.897963562767437,0.051106099480859486,-25.830545279968383,0.05785981723627588,False,Broadband noise with a music-like spectral slope.
Pink noise,16000.0,1.0,0.0,0.2124634392099128,-13.45431585490582,0.25518990776840383,-11.862730101146068,-11.862730101146068,0.04972596292255877,-26.06833596380721,0.05477696793416076,False,Broadband noise with a music-like spectral slope.
Pink noise,32000.0,1.0,0.0,0.2124634392099128,-13.45431585490582,0.09306391602826014,-20.624373535586113,-20.624373535586113,0.019077802675474164,-34.38943294994488,0.008062844619158713,False,Broadband noise with a music-like spectral slope.
