# Music Analyser - Comprehensive Analysis Results
# Generated: 2025-10-25T08:12:40.248835

[TRACK_METADATA]
parameter,value
track_name,Californication.flac
track_path,Tracks\Californication.flac
duration_seconds,321.5733333333333
sample_rate,44100
samples,14181384
channels,1
original_peak,0.988555908203125
original_peak_dbfs,-0.09997528046369553
analysis_date,2025-10-25T08:12:40.248835

[OCTAVE_BAND_ANALYSIS]
frequency_hz,max_amplitude,max_amplitude_db,rms,rms_db,dynamic_range,dynamic_range_db,crest_factor,crest_factor_db,mean,std,p10,p25,p50,p75,p90,p95,p99
Full Spectrum,1.0,-0.09997527890305569,0.3712078110938673,-8.707633154298852,0.3712078110938673,-8.607657875395798,2.69390882980943,8.607657875395798,1.2394396458076297e-06,0.37120781109179807,0.034930385649204254,0.09915722161531448,0.22700892388820648,0.41677215695381165,0.6304911375045776,0.7735158801078796,0.9977772831916809
31.250,0.1624700603053651,-15.884508445484986,0.021363557981586623,-33.506503604760105,0.1314922758164395,-17.621995159275116,7.60500944858525,17.621995159275116,-2.645479643580546e-12,0.021363557981586623,0.0004924151263603121,0.0019268535029391735,0.006998565405051236,0.01791952033924034,0.03227520197150299,0.046101411260139044,0.08413395147897607
143.0,3.132798,9.918648,1.0,0.31920347,-0.09997528,-10.018623
145.0,2.8999758,9.247887,1.0,0.34483045,-0.09997528,-9.347863
147.0,2.4300702,7.712376,1.0,0.41151077,-0.09997528,-7.812351
149.0,2.4697306,7.852992,1.0,0.40490246,-0.09997528,-7.952967
151.0,2.3801715,7.532165,1.0,0.4201378,-0.09997528,-7.6321406
153.0,2.3508918,7.424653,1.0,0.42537048,-0.09997528,-7.524628
155.0,2.4840589,7.9032373,1.0,0.40256694,-0.09997528,-8.003214
157.0,2.2967248,7.2221794,1.0,0.43540263,-0.09997528,-7.3221545
159.0,2.5168803,8.017251,1.0,0.39731726,-0.09997528,-8.117227
161.0,2.2502093,7.0444584,1.0,0.4444031,-0.09997528,-7.144434
163.0,2.2793515,7.156226,1.0,0.43872127,-0.09997528,-7.2562017
165.0,2.302361,7.2434683,1.0,0.43433675,-0.09997528,-7.343444
167.0,2.2618237,7.089175,1.0,0.44212112,-0.09997528,-7.1891503
169.0,2.2958608,7.218911,1.0,0.43556648,-0.09997528,-7.3188868
171.0,2.2389274,7.0008,1.0,0.44664246,-0.09997528,-7.1007752
173.0,2.2886562,7.1916113,1.0,0.4369376,-0.09997528,-7.291587
175.0,2.5121288,8.000838,1.0,0.39806876,-0.09997528,-8.100813
177.0,2.2180884,6.919577,1.0,0.45083869,-0.09997528,-7.019552
179.0,2.2936654,7.210602,1.0,0.43598336,-0.09997528,-7.310577
181.0,1.9445428,5.77635,1.0,0.5142597,-0.09997528,-5.8763256
183.0,1.9670252,5.8761983,1.0,0.5083819,-0.09997528,-5.9761734
185.0,2.0264368,6.1346617,1.0,0.49347705,-0.09997528,-6.2346363
187.0,2.0513399,6.240752,1.0,0.48748627,-0.09997528,-6.340728
189.0,2.145472,6.630457,1.0,0.4660979,-0.09997528,-6.7304325
191.0,2.0930004,6.415386,1.0,0.477783,-0.09997528,-6.515362
193.0,2.0502398,6.236093,1.0,0.48774782,-0.09997528,-6.3360686
195.0,2.1324334,6.57751,1.0,0.4689478,-0.09997528,-6.677485
197.0,2.0410864,6.197228,1.0,0.48993513,-0.09997528,-6.297204
199.0,2.4611032,7.8225965,1.0,0.40632185,-0.09997528,-7.922572
201.0,3.4037595,10.639177,1.0,0.29379278,-0.09997528,-10.739153
203.0,3.2665732,10.281848,1.0,0.3061312,-0.09997528,-10.381823
205.0,3.2806349,10.319158,1.0,0.30481905,-0.09997528,-10.419134
207.0,3.1648736,10.007128,1.0,0.3159684,-0.09997528,-10.107102
209.0,3.1684077,10.016822,1.0,0.31561595,-0.09997528,-10.1167965
211.0,2.6402197,8.432801,1.0,0.37875634,-0.09997528,-8.532777
213.0,2.3847625,7.5489025,1.0,0.41932896,-0.09997528,-7.648878
215.0,2.8928604,9.22655,1.0,0.34567863,-0.09997528,-9.326525
217.0,3.2784145,10.313277,1.0,0.3050255,-0.09997528,-10.413254
219.0,3.3535166,10.51001,1.0,0.29819444,-0.09997528,-10.609984
